	x	y
0	20.95	13.022
1	21.949	13.032
2	23.192	13.066
3	17.959	13.013
4	16.987	13.093
5	19.011	13.031
6	20.101	13.034
7	20.115	15.051
8	19.028	15.064
9	18.976	14.073
10	20.113	14.038
11	16.977	15.128
12	18.028	14.061
13	17.974	15.137
14	16.971	17.17
15	16.959	16.069
16	18.051	17.136
17	17.968	16.058
18	18.997	16.049
19	20.117	16.05
20	20.063	17.12
21	19.044	17.083
22	23.18	15.101
23	23.166	14.093
24	21.958	14.029
25	20.933	14.023
26	20.95	15.021
27	21.927	15.028
28	21.923	16.018
29	21.026	17.069
30	20.957	16.025
31	21.951	17.028
32	23.206	16.091
33	23.204	17.159
34	7.893	13.081
35	6.909	13.137
36	7.996	14.173
37	7.934	15.043
38	6.917	14.113
39	6.873	15.102
40	6.827	16.125
41	8.013	17.113
42	6.942	17.182
43	7.978	16.062
44	13.102	13.04
45	14.061	13.15
46	15.952	13.092
47	15.073	13.053
48	8.994	13.051
49	9.858	13.042
50	10.9	13.054
51	12.128	13.019
52	12.161	15.112
53	10.921	14.008
54	12.135	14.152
55	10.872	15.049
56	9.916	15.072
57	9.012	14.141
58	9.912	14.041
59	9.026	15.067
60	9.018	16.051
61	9.899	17.038
62	9.875	16.042
63	9.008	17.068
64	12.108	17.09
65	10.88	16.039
66	12.088	16.122
67	16.006	15.103
68	15.954	14.065
69	15.036	14.069
70	15.033	15.067
71	14.016	15.087
72	14.078	14.097
73	13.041	15.088
74	13.128	14.123
75	14.066	16.057
76	14.075	17.072
77	13.039	16.074
78	13.061	17.072
79	15.042	17.096
80	16.02	17.145
81	15.968	16.05
82	14.994	16.036
83	16.002	19.059
84	15.063	19.074
85	16.005	20.103
86	15.051	18.091
87	15.076	20.025
88	15.976	18.08
89	13.099	19.078
90	14.225	18.156
91	14.011	20.051
92	13.013	18.093
93	13.06	20.066
94	14.055	19.147
95	14.01	21.034
96	14.095	22.07
97	13.145	21.103
98	13.087	22.061
99	15.906	21.074
100	15.065	21.097
101	15.95	22.157
102	15.076	22.068
103	10.874	19.089
104	10.908	18.026
105	12.1	19.136
106	10.877	20.019
107	12.127	20.097
108	12.15	18.134
109	8.988	20.084
110	9.038	19.112
111	9.917	20.048
112	9.893	18.031
113	9.01	18.066
114	9.956	19.122
115	8.939	22.219
116	9.946	22.073
117	9.04	21.045
118	9.903	21.038
119	11.079	22.089
120	12.129	22.106
121	12.139	21.11
122	10.877	21.052
123	7.974	18.088
124	6.913	18.103
125	6.935	19.198
126	7.921	20.078
127	7.94	19.209
128	6.852	20.113
129	7.944	21.036
130	8.006	22.149
131	23.214	19.069
132	23.222	20.076
133	23.157	18.032
134	21.953	20.011
135	20.983	19.031
136	20.985	20.048
137	21.938	18.022
138	20.97	18.024
139	21.921	19.006
140	21.012	21.07
141	21.963	21.018
142	20.998	22.072
143	21.973	22.042
144	23.177	21.068
145	23.177	22.139
146	19.01	19.873
147	20.112	19.053
148	19.038	18.06
149	20.098	20.056
150	19.013	19.066
151	20.075	18.053
152	17.043	20.14
153	17.98	18.07
154	16.961	19.076
155	16.917	18.088
156	17.96	19.085
157	18.042	22.155
158	17.034	21.102
159	17.098	22.18
160	18.039	21.102
161	18.99	21.061
162	19.065	22.092
163	20.003	21.066
164	20.147	22.086
165	12.145	23.037
166	10.895	22.997
167	9.115	23.019
168	9.968	23.006
169	16.034	22.984
170	15.067	23.006
171	13.993	23.027
172	13.096	23.022
173	20.127	22.999
174	19.05	22.966
175	16.959	23.013
176	17.948	22.992
177	23.179	23.021
178	24.168	23.011
179	21.932	22.98
180	20.949	22.991
181	24.175	14.074
182	24.131	15.062
183	24.15	16.065
184	24.176	17.062
185	24.17	19.063
186	24.149	18.066
187	24.095	20.056
188	24.16	22.134
189	24.196	21.058
190	5.911	13.286
191	5.967	15.102
192	5.988	14.053
193	5.866	17.214
194	5.939	16.123
195	5.936	18.092
196	10.936	23.996
197	12.174	24.064
198	13.122	23.993
199	20.105	23.992
200	19.042	23.992
201	16.992	24.138
202	18.008	23.982
203	20.961	23.966
204	21.961	23.966
205	21.943	12.017
206	20.967	12.021
207	23.221	12.095
208	18.025	12.046
209	17.01	12.15
210	18.979	12.014
211	20.109	12.035
212	7.919	12.043
213	13.068	12.082
214	14.06	12.085
215	15.029	12.043
216	9.901	11.981
217	9.017	12.041
218	10.871	12.039
219	12.118	12.101
220	20.971	11.01
221	21.939	11.039
222	18.94	11.048
223	20.034	11.032
224	17.017	11.159
225	17.977	11.085
226	15.003	11.045
227	13.09	11.082
228	14.03	11.081
229	10.885	11.041
230	12.108	11.082
231	9.847	11.026
232	25.061	16.061
233	25.103	17.056
234	25.035	19.132
235	25.116	18.06
236	25.187	20.252
237	25.121	21.055
238	25.076	22.053
