	x	y
0	19.047	10.968
1	16.918	10.987
2	17.968	9.955
3	17.969	10.976
4	16.916	9.99
5	17.927	12.983
6	16.941	12.016
7	16.918	12.998
8	18.029	12.029
9	18.977	12.995
10	18.942	11.983
11	18.971	13.973
12	18.874	15.007
13	16.951	14.991
14	17.988	14.994
15	16.932	13.992
16	17.977	13.986
17	16.958	17.011
18	16.91	16.045
19	18.003	17.023
20	17.965	15.981
21	18.973	15.985
22	18.904	17.009
23	14.93	9.986
24	15.96	10.961
25	15.978	9.958
26	15.011	10.975
27	14.003	9.973
28	12.964	10.97
29	14.021	10.98
30	13.958	12.981
31	13.009	11.972
32	13.019	12.99
33	14.061	11.956
34	14.998	11.963
35	15.865	11.965
36	15.009	12.988
37	15.981	12.973
38	12.073	9.96
39	12.054	10.946
40	10.901	9.944
41	10.873	10.926
42	9.865	9.958
43	9.883	10.936
44	8.881	11.002
45	8.904	10.008
46	8.821	12.988
47	8.891	11.996
48	9.874	11.937
49	9.875	12.959
50	12.053	12.965
51	10.85	11.911
52	12.003	11.938
53	10.943	12.935
54	12.04	13.949
55	10.931	13.948
56	11.03	14.885
57	12.069	14.969
58	9.864	14.944
59	8.909	13.976
60	8.95	14.983
61	8.861	17.028
62	8.85	15.976
63	9.919	16.974
64	9.931	15.956
65	12.063	15.974
66	12.036	16.981
67	10.974	16.93
68	11.023	16.041
69	14.978	13.963
70	16.065	15.013
71	15.975	13.956
72	14.971	14.996
73	13.983	14.987
74	14.017	13.968
75	13.006	13.974
76	13.027	14.991
77	13.042	17.0
78	13.99	15.986
79	12.977	15.969
80	14.021	16.997
81	15.002	16.996
82	16.007	15.964
83	15.98	16.994
84	15.039	15.985
85	15.984	20.003
86	16.059	19.001
87	15.038	19.026
88	15.974	17.999
89	15.007	17.991
90	15.049	19.993
91	13.038	17.989
92	13.045	20.016
93	13.989	20.01
94	14.069	17.995
95	12.977	19.032
96	14.038	19.008
97	14.063	22.012
98	13.017	21.981
99	14.063	20.998
100	13.06	21.006
101	16.002	21.005
102	14.979	20.999
103	16.009	22.013
104	12.112	19.001
105	12.062	17.953
106	10.97	19.969
107	10.937	18.991
108	12.062	19.992
109	10.961	17.955
110	8.951	19.031
111	8.871	18.012
112	8.879	20.027
113	9.918	17.958
114	9.917	19.999
115	9.7	19.035
116	9.927	20.964
117	8.895	21.136
118	9.918	21.965
119	8.909	22.026
120	12.05	22.008
121	10.936	22.029
122	12.056	20.993
123	10.935	20.965
124	12.075	24.001
125	12.06	23.014
126	10.966	23.969
127	10.955	22.968
128	8.872	23.957
129	9.775	23.035
130	8.917	23.009
131	9.86	23.983
132	8.915	25.036
133	9.818	26.046
134	9.001	26.051
135	10.025	24.922
136	12.084	26.023
137	12.128	24.991
138	10.953	25.995
139	10.907	24.951
140	14.981	24.008
141	15.988	22.994
142	15.026	22.986
143	16.03	24.002
144	13.005	23.987
145	13.058	23.032
146	14.036	23.011
147	14.045	24.005
148	13.021	26.024
149	13.096	25.01
150	14.058	26.018
151	14.017	25.0
152	16.058	24.999
153	14.986	26.009
154	16.047	26.007
155	14.991	25.01
156	19.054	19.026
157	18.883	18.013
158	19.0	20.006
159	16.959	18.048
160	18.019	20.014
161	16.945	20.025
162	17.977	19.015
163	18.08	18.029
164	16.905	19.018
165	18.02	22.024
166	17.989	20.999
167	16.971	21.036
168	16.957	22.049
169	18.933	22.016
170	18.958	23.016
171	18.911	24.011
172	17.01	23.053
173	17.941	22.955
174	16.965	23.982
175	18.002	24.015
176	17.002	25.025
177	17.962	25.0
178	16.987	26.024
179	17.968	26.019
180	18.944	26.033
181	18.929	25.016
182	16.028	27.007
183	16.05	27.995
184	15.04	28.015
185	15.015	27.009
186	13.041	27.005
187	14.064	26.999
188	13.029	28.011
189	14.053	28.019
190	13.056	28.991
191	14.052	28.961
192	14.993	28.999
193	16.052	28.997
194	12.083	26.993
195	10.943	26.957
196	10.895	27.971
197	12.092	27.981
198	12.086	28.985
199	18.032	26.986
200	16.965	27.024
201	18.051	28.029
202	16.921	28.039
203	16.982	29.005
204	19.936	12.99
205	19.89	13.954
206	19.998	14.983
207	19.977	17.009
208	19.939	15.976
209	19.919	20.013
210	19.909	19.007
211	19.929	18.019
212	19.967	22.012
213	19.933	21.021
214	19.982	24.018
215	19.905	23.022
216	19.951	26.025
217	19.979	25.008
218	19.941	27.029
219	18.908	27.014
220	18.967	28.013
221	19.829	11.975
222	16.98	8.97
223	14.022	8.969
224	14.909	8.982
225	15.974	8.982
226	9.88	8.905
227	10.903	8.918
228	12.051	8.954
229	7.836	11.121
230	7.853	9.996
231	7.848	11.998
232	7.913	12.975
233	7.919	13.976
234	7.87	15.011
235	7.859	17.033
236	7.893	15.931
237	7.961	18.022
238	7.884	20.018
239	7.917	19.04
240	7.847	21.049
241	7.968	22.038
242	7.905	22.991
243	7.94	24.03
244	7.934	25.017
245	6.973	10.99
246	6.918	11.99
247	7.012	12.968
248	6.887	15.01
249	6.929	13.985
250	7.01	17.034
251	6.946	15.926
252	6.945	19.037
253	6.984	18.024
254	5.884	13.004
255	5.936	15.014
256	5.917	14.021
257	5.937	17.057
258	5.936	16.016
259	5.93	18.049
260	20.895	13.906
261	20.936	14.918
262	21.013	16.936
263	20.894	15.938
264	20.938	19.971
265	20.866	18.977
266	20.941	17.921
267	20.979	20.972
268	20.911	21.979
269	20.933	23.955
270	20.975	22.97
271	20.944	24.935
272	20.947	25.948
273	21.97	22.908
274	21.986	23.963
275	22.003	19.996
276	20.857	12.946
277	14.927	30.018
278	14.068	30.013
